,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
449,Cadillac,Hect,Hect,"May 27, 1999",Unreleased,Unreleased,
450,Caesars Palace,Interplay,Interplay,Unreleased,January 1998,"August 28, 1997",
451,Caesar's Palace 2000,Runecraft,Interplay Entertainment Corp.,Unreleased,Unreleased,"June 29, 2000",
452,Caesar's Palace II,Runecraft,Interplay Entertainment Corp.,Unreleased,Unreleased,"October 15, 1998",
453,Calamity Adventure 1: The Natural World,Lightspan,Lightspan,Unreleased,Unreleased,1997,
454,Calamity Adventure 2: People and Traditions,Lightspan,Lightspan,Unreleased,Unreleased,1997,
455,Calamity Adventure 3: Around the World,Lightspan,Lightspan,Unreleased,Unreleased,1997,
456,Calcolo!,Clef,Clef,"November 6, 1997",Unreleased,Unreleased,
457,California Surfing,Midas Interactive,Midas Interactive,Unreleased,"December 13, 2001",Unreleased,
458,California Watersports,Theyer GFX,Midas Interactive,Unreleased,"March 30, 2001",Unreleased,
459,Cali's Geo Tools,Lightspan,Lightspan,Unreleased,Unreleased,1997,
460,Capcom Generation 1: Dai 1 Shuu Gekitsuiou no Jidai,Capcom,Capcom,"August 27, 1998",Unreleased,Unreleased,
461,Capcom Generation 2: Dai 2 Shuu Makai to Kishi,Capcom,Capcom,"September 23, 1998",Unreleased,Unreleased,
462,Capcom Generation 3: Dai 3 Shuu Koko ni Rekishi Hajimaru,Capcom,Capcom,"October 15, 1998",Unreleased,Unreleased,
463,Capcom Generation 4: Dai 4 Shuu Kokou no Eiyuu,Capcom,Capcom,"November 12, 1998",Unreleased,Unreleased,
464,Capcom VS SNK: Pro,Capcom,Capcom,"April 18, 2002","July 12, 2002","August 14, 2002",
465,Captain Commando,NEW Corporation,Capcom,"September 17, 1998",Unreleased,Unreleased,
466,Captain Love!!,Rit's,Toshiba EMI,"March 11, 1999",Unreleased,Unreleased,
467,Captain Tsubasa: Aratanaru Densetsu Joshou,WinkySoft,Konami,"May 16, 2002",Unreleased,Unreleased,
468,Captain Tsubasa J: Get In The Tomorrow,Bandai,Bandai,"May 3, 1996",Unreleased,Unreleased,
469,Car & Driver Presents: Grand Tour Racing '98•Total DrivinPAL,Eutechnyx,"ActivisionNA, Ocean SoftwarePAL, AtlusJP","April 23, 1998",November 1997,"September 30, 1997",
470,Card Games•Simple 1500 Series Vol. 44: The Card 2JP,Amedio,"JP D3, NA Agetec Inc.","October 26, 2000",Unreleased,"August 28, 2001",
471,Card II,Success,Success,"September 22, 1999",Unreleased,Unreleased,
472,Cardcaptor Sakura: Clow Card Magic,Arika,Arika,"January 27, 2000",Unreleased,Unreleased,
473,Cardinal Syn,Kronos Digital Entertainment,SCEE,Unreleased,June 1998,"January 8, 1998",
474,Carmageddon,SCi,Ubisoft,Unreleased,"October 1, 1999",Unreleased,
475,Carnage Heart,Artdink,"SCEEPAL, SCEANA, ArtdinkJP","December 8, 1995",May 1997,"January 10, 1997",
476,Carnage Heart EZ: Easy Zapping,Artdink,Artdink,"July 24, 1997",Unreleased,Unreleased,
477,Carom Shot,Agenda,Argent,"April 25, 1997",Unreleased,Unreleased,
478,CART World Series,SCEA,SCEE,Unreleased,"March 28, 1998","September 16, 1997",
479,Casper,Funcom,Interplay,Unreleased,October 1996,"September 27, 1996",
480,Casper - Friends Around the World,Realtime Associates,Sound Source,Unreleased,"December 15, 2000","November 14, 2000",
481,Castlevania Chronicles•Castlevania Chronicle: Akumajou DraculaJP,Konami Digital Entertainment,Konami,"May 24, 2001","November 9, 2001","October 9, 2001",
482,Castlevania: Symphony of the Night•Akumajou Dracula X: Nocturne in the MoonlightJP,Konami,Konami,"March 20, 1997","November 1, 1997","October 15, 1997",
483,Castrol Honda Superbike Racing,Midas Interactive Entertainment,"NA Electronic Arts, PAL THQ, JP Success","May 25, 2000","October 13, 2000","April 30, 1999",
484,Castrol Honda VTR,Interactive Entertainment,"Midas InteractivePAL, SuccessJP","October 25, 2001","February 9, 2001",Unreleased,
485,Catan - Die erste Insel (German),Similis,Ravensburger Interactive Media GmbH,Unreleased,March 2001,Unreleased,
486,The Cat in the Hat,NewKidCo,DC Studios,Unreleased,Unreleased,"April 23, 2004",
487,Cat the Ripper: Jyusanninme no Tanteishi,Tonkin House,Tonkin House,"July 17, 1997",Unreleased,Unreleased,
488,Catch! Kimochi Sensation,Pandora Box,Pandora Box,"August 10, 2000",Unreleased,Unreleased,
489,Celebrity Deathmatch,Big Ape Productions,Gotham Games,Unreleased,Unreleased,"October 21, 2003",
490,Centipede,"Leaping Lizard Software, Real Sports Games",Hasbro Interactive (Under the Atari Interactive Label),Unreleased,"November 22, 1999","June 1, 1999",
491,Champion Wrestler: Jikkyou Live,Taito,Taito,"February 16, 1996",Unreleased,Unreleased,
492,CG Mukashi Banashi: Jiisan 2-do Bikkuri!!,Axes Art Amuse,Idea Factory,"March 8, 1996",Unreleased,Unreleased,
493,Championship Bass,EA Seattle,Electronic Arts,Unreleased,"March 31, 2000","March 7, 2000",
494,Championship Manager Quiz,King of the Jungle,Eidos Interactive,Unreleased,"November 30, 2001",Unreleased,
495,Championship Motocross featuring Ricky Carmichael,Funcom Dublin,THQ,Unreleased,"July 31, 1999","September 13, 1999",
496,Championship Motocross 2001 featuring Ricky Carmichael,Funcom Dublin,THQ,Unreleased,"April 6, 2001","February 1, 2001",
497,Championship Surfer,Krome Studios,Mattel,Unreleased,"October 19, 2001","December 2, 2000",
498,Chaos Break,Eon,"Taito CorporationJP, EonPAL","January 27, 2000","December 8, 2000",Unreleased,
499,Chaos Control,Infogrames,Virgin Interactive,"October 4, 1996",Unreleased,Unreleased,
500,Charumera,Bits Laboratory,Victor Interactive Software,"November 25, 1999",Unreleased,Unreleased,
501,Checkmate•Checkmate IIEU,Altron,"Midas InteractivePAL, AltronJP","June 18, 1998","April 12, 2001",Unreleased,
502,Cheesy,CTA Developments,"Ocean SoftwarePAL, JalecoJP","July 24, 1997","November 15, 1996",Unreleased,
503,Chess,Success,"A1 GamesNA, SuccessJP","November 29, 2001",Unreleased,"November 29, 2001",
504,Chess & Reversi,Yuki,DigiCube,"January 24, 2002",Unreleased,Unreleased,
505,Chess 2000,Oxford Softworks,Unbalance,"April 6, 2000",Unreleased,Unreleased,
506,Chessmaster II,Starsphere Interactive,Mindscape,Unreleased,"October 15, 1999","September 27, 1999",
507,The Chessmaster 3-DNA•The ChessmasterJP,"Mindscape, Altron",Mindscape,"November 1, 1996",July 1996,"January 17, 1996",
508,Chibi Maruko-Chan: Maruko Enikki World,KID,Takara,"December 22, 1995",Unreleased,Unreleased,
509,Chibi-Chara Game Gingaeiyu Densetsu,Tokuma Shoten,Tokuma Shoten,"May 27, 1999",Unreleased,Unreleased,
510,Chicken Run,Blitz Games,Eidos Interactive,Unreleased,"November 24, 2000","November 1, 2000",
511,Chiisana Kyojin Microman,Wavedge,Takara,"March 11, 1999",Unreleased,Unreleased,
512,Chiisana Oukoku Eltoria,KSS,KSS,"June 29, 2000",Unreleased,Unreleased,
513,Chill,Silicon Dreams Studio,Eidos Interactive,Unreleased,April 1998,Unreleased,
514,China: The Forbidden City,"Cryo Interactive, Canal+Multimedia, Réunion des Musées Nationaux",Cryo Interactive,Unreleased,1999,Unreleased,
515,Chinmoku no Kantai,Opera House,Kodansha,"September 28, 2000",Unreleased,Unreleased,
516,Chō Aniki: Kyūkyoku Muteki Ginga Saikyō Otoko,Pre-Stage,Masaya,"December 29, 1995",Unreleased,Unreleased,
517,Cho-Nazo-Oh,Bandai,Bandai Visual,"January 27, 2000",Unreleased,Unreleased,
518,Chocobo Collection,"Square, ParityBit, Denyusha Co.",Square,"December 22, 1999",Unreleased,Unreleased,
519,Chocobo Racing,Square Co,SCEE,"March 18, 1999","October 11, 1999","August 10, 1999",
520,Chocobo's Dungeon 2NA•Chokobo no Fushigi na Danjon 2JP,SquareSoft,Square EA,"December 23, 1998",Unreleased,"January 1, 2000",
521,Chocobo no Fushigi na Dungeon,Square,Square,"December 23, 1997",Unreleased,Unreleased,
522,Chocobo Stallion,Square Co,Square Co,"December 22, 1999",Unreleased,Unreleased,
523,Chocolate Kiss,Infinity,DigiCube,"February 14, 2002",Unreleased,Unreleased,
524,Choro QJP•Penny RacersPAL,Tamsoft,"TakaraJP, SCEEPAL","March 22, 1996","October 1, 1996",Unreleased,
525,Choro Q 2,Takara,Takara,"February 21, 1997",Unreleased,Unreleased,
526,Choro Q 3,Takara,Takara,"February 19, 1998",Unreleased,Unreleased,
527,Choro Q Jet: Rainbow Wings,C-Lab,Takara,"February 26, 1998",Unreleased,Unreleased,
528,Choro Q Marine: Q-Boat,Takara,Takara,"June 25, 1998",Unreleased,Unreleased,
529,Choro Q Wonderful!,Takara,Takara,"August 5, 1999",Unreleased,Unreleased,
530,Chou Hatsumei Boy Kanipan: Hirameki Wonderland,Taito,Taito,"September 30, 1999",Unreleased,Unreleased,
531,Chou Jiryoku Senshi Microman: Generation 2000,Barnhouse Effect,Takara,"December 16, 1999",Unreleased,Unreleased,
532,Chou Mashin Eiyuuden Wataru: Another Step,Aspect,Banpresto,"April 23, 1998",Unreleased,Unreleased,
533,Chou Sentou Kyuugi Vanborg,Avit,Hect,"February 18, 1999",Unreleased,Unreleased,
534,Chou-Kousoku GranDoll,Emotion Digital Software,Bandai,"July 24, 1997",Unreleased,Unreleased,
535,Choujin Gakuen Gowcaizer,Urban Plant,Urban Plant,"July 17, 1997",Unreleased,Unreleased,
536,Chris Kamara's Street Soccer,Pixel Storm,Midas Interactive,Unreleased,"August 25, 2000, September 1, 2000",Unreleased,
537,Chronicles of the Sword,Synthetic Dimensions,Psygnosis,Unreleased,Unreleased,"November 27, 1996",
538,Chrono Cross,SquareSoft,"SquareSoftJP, Square EANA","November 18, 1999",Unreleased,"August 15, 2000",
539,Chrono Trigger,SquareSoft,SquareSoft,"November 2, 1999",Unreleased,"June 21, 2001",
540,Chuushingura,Toei,Toei,"January 29, 1998",Unreleased,Unreleased,
541,Cindy's Caribbean Holiday,Phoenix Games,Phoenix Games,Unreleased,January 2003,Unreleased,
542,Cindy's Fashion World,Phoenix Games,Phoenix Games,Unreleased,January 2003,Unreleased,
543,Circadia,Alvion,SCEI,"January 14, 1999",Unreleased,Unreleased,
544,Circuit Beat,Prism Arts,Prism Arts,"May 17, 1996",Unreleased,Unreleased,
545,Circuit Breakers,Supersonic,Mindscape,Unreleased,Unreleased,"July 31, 1998",
546,City Bravo!,Altron,Altron,"January 10, 1997",Unreleased,Unreleased,
547,City Bravo! Business Hen,Altron,Altron,"July 27, 2000",Unreleased,Unreleased,
548,The City of Lost Children,Psygnosis,Psygnosis,Unreleased,June 1997,"May 31, 1997",
549,Civilization,Microprose,"Asmik Ace Entertainment, Inc","April 26, 1996",Unreleased,Unreleased,
550,Civilization II,Alpha Unit,"Human EntertainmentJP, ActivisionPAL,NA","December 23, 1998","January 1, 1999","December 31, 1998",
551,Civizard: Majutsu no Keifu,Opera House,"Asmik Ace Entertainment, Inc","January 17, 1997",Unreleased,Unreleased,
552,Classic Road,Victor Interactive Software,Victor Interactive Software,"December 15, 1995",Unreleased,Unreleased,
553,Classic Road 2,Victor Interactive Software,Victor Interactive Software,"April 1, 1999",Unreleased,Unreleased,
554,Classic Road Yuushun 2,Victor Interactive Software,Victor Interactive Software,"April 2, 1998",Unreleased,Unreleased,
555,Cleopatra's Fortune,Altron,Midas Interactive,"May 17, 2001","February 7, 2003","May 16, 2003",
556,Click Medic,Game Freak,Sony Music Entertainment Incorporated,"January 28, 1999",Unreleased,Unreleased,
557,Clock Tower,Human Entertainment,ASCII Entertainment,"December 13, 1996",February 1998,"January 10, 1997",
558,Clock Tower: The First Fear,Human Entertainment,ASCII Entertainment,"July 17, 1997",Unreleased,Unreleased,
559,Clock Tower II: The Struggle Within,Human Entertainment,"Human Entertainment, Agetec","March 12, 1998",Unreleased,"November 2, 1999",
560,ClockWerx,Axes Art Amuse,Tokuma Shoten,"July 26, 1996",Unreleased,Unreleased,
561,Cocktail Harmony•Cocktail no RecipeJP,Astroll,Astroll,"September 10, 1998",Unreleased,Unreleased,
562,Codename: TenkaNA•Lifeforce TenkaPAL,Psygnosis,"SCEANA, PsygnosisPAL",Unreleased,July 1997,"May 31, 1997",
563,Colin McRae Rally,Codemasters,Codemasters,Unreleased,January 1998,"March 1, 2000",
564,Colin McRae Rally 2.0,Codemasters,Codemasters,Unreleased,"September 6, 2000","December 5, 2000",
565,College Slam,Iguana Entertainment,Acclaim,Unreleased,Unreleased,"February 10, 1996",
566,Colony Wars,Psygnosis,Psygnosis,Unreleased,"November 5, 1997","October 31, 1997",
567,Colony Wars: Red Sun,Psygnosis,SCEE,Unreleased,"May 2, 2000","April 12, 2000",
568,Colony Wars: Vengeance,Psygnosis,Psygnosis,Unreleased,"November 13, 1998","October 15, 1998",
569,Combi Mahjong Awaseuchi with Maboroshi Tsukiyo Characters,Gaps,Gaps,"June 1, 2000",Unreleased,Unreleased,
570,Covert Ops: Nuclear DawnNA•Chase the ExpressJP,"Sugar & Rockets Inc., Tyo Entertainment",SCEE,"January 27, 2000","September 8, 2000","May 31, 2000",
571,Combat Choro Q,Barnhouse Effect,Takara,"February 25, 1999",Unreleased,Unreleased,
572,Colorful Logic,Altron,Altron,"June 22, 2000",Unreleased,Unreleased,
573,Colorful Logic 2,Altron,Altron,"January 18, 2001",Unreleased,Unreleased,
574,Colorful Logic 3,Altron,Altron,"July 12, 2001",Unreleased,Unreleased,
575,Combination Pro Soccer,Kuusoukagaku,Axela,"June 18, 1998",Unreleased,Unreleased,
576,Command & Conquer,Westwood Studios,Virgin Interactive,Unreleased,December 1996,"March 10, 1997",
577,Command & Conquer: Red Alert,Westwood Studios,"Virgin Interactive, EA Games (Platinum Re-Release)","April 16, 1998",November 1997,"October 15, 1997",
578,Command & Conquer Red Alert: Retaliation (Expansion),Westwood Studios,Virgin Interactive,Unreleased,September 1998,"August 28, 1998",
579,Community Pom,Fill-in-Cafe,Fill-in-Cafe,"October 30, 1997",Unreleased,Unreleased,
580,Community Pom: Omoide o Dakishimete,Family Soft,Family Soft,"June 24, 1999",Unreleased,Unreleased,
581,Complete Onside Soccer,MotiveTime,"TelstarPAL, IchikawaJP","January 29, 1998",June 1996,Unreleased,
582,Constructor,System 3,Acclaim,Unreleased,1998,Unreleased,
583,Contender•Victory Boxing 2UK•Victory Boxing ContenderPAL•Dynamite BoxingJP,Victor Interactive Software,SCEANA,"May 21, 1998",October 1998,"January 13, 1999",
584,Contender 2•Victory Boxing ChallengerPAL•Victory BoxingJP•Funky BoxersJP,Bam Entertainment,Bam Entertainment,"November 28, 2002","October 12, 2000","December 19, 2000",
585,Contra: Legacy of War,Appaloosa Interactive,Konami,Unreleased,"March 30, 1997","November 29, 1996",
586,Conveni: Ano Machi wo Dokusen Seyo,Human Entertainment,Human Entertainment,"March 28, 1997",Unreleased,Unreleased,
587,Conveni 2: Zenkoku Chain Tenkai da!,Human Entertainment,Human Entertainment,"December 18, 1997",Unreleased,Unreleased,
588,The Conveni Special,Masterpiece,Artdink,"March 12, 1998",Unreleased,Unreleased,
589,Cool Boarders,UEP Systems,SCEE,"August 30, 1996","January 9, 1997","December 31, 1996",
590,Cool Boarders 2,UEP Systems,SCEE,"August 28, 1997","February 1, 1998","November 11, 1997",
591,Cool Boarders 3,"989 Studios, Idol Minds",SCEE,"November 28, 1998","November 15, 1998","October 30, 1998",
592,Cool Boarders 4,Idol Minds,SCEE,"March 9, 2000","February 25, 2000","October 26, 1999",
593,Cool Boarders 2001,Idol Minds,SCEE,Unreleased,Unreleased,"October 23, 2000",
594,Cosmic Cookoff: Language Arts,Lightspan,Lightspan,Unreleased,Unreleased,1998,
595,Cosmic Cookoff: Mathematics,Lightspan,Lightspan,Unreleased,Unreleased,1998,
596,Cosmic Race,Neorex,Neorex,"January 20, 1995",Unreleased,Unreleased,
597,Cosmowarrior Zero,Taito Corporation,Taito Corporation,"May 18, 2000",Unreleased,Unreleased,
598,Cotton 100%,Success,Success,"March 27, 2003",Unreleased,Unreleased,
599,Cotton Original,Success,Success,"April 28, 1999",Unreleased,Unreleased,
600,Countdown Vampires,K2 LLC,Bandai,"December 22, 1999",Unreleased,"January 8, 2000",
601,Courier Crisis,New Level Software,GT Interactive,Unreleased,Unreleased,"November 30, 1997",
602,Cowboy Bebop,Bandai,Bandai,"May 14, 1998",Unreleased,Unreleased,
603,Cranky Pro,Syscom,Syscom,"October 2, 1997",Unreleased,Unreleased,
604,Crash Bandicoot,Naughty Dog,"SCEEPAL, SCEAUS","December 6, 1996","November 2, 1996","September 9, 1996",[57]
605,Crash Bandicoot 2: Cortex Strikes Back,Naughty Dog,"SCEEPAL, SCEAUS","December 18, 1997","December 6, 1997","October 15, 1997",[57]
606,Crash Bandicoot: Warped,Naughty Dog,"SCEEPAL, SCEAUS","December 17, 1998","December 5, 1998","November 15, 1998",[57]
607,Crash Team Racing,Naughty Dog,"SCEEPAL, SCEAUS","December 16, 1999","October 20, 1999","October 1, 1999",
608,Crash Bash,Eurocom,"SCEEPAL, SCEAUS","December 14, 2000","December 1, 2000","November 10, 2000",
609,Crayon Shin-chan,Bandai,Bandai,"November 29, 2001",Unreleased,Unreleased,
610,Crazy Balloon 2000,Success,Success,"October 26, 2000",Unreleased,Unreleased,
611,Crazy Climber 2000,ISCO,Nihon Bussan,"February 3, 2000",Unreleased,Unreleased,
612,Creative Camp,Lightspan,Lightspan,Unreleased,Unreleased,1998,
613,Creative Isle,Lightspan,Lightspan,Unreleased,Unreleased,1998,
614,Creative Journey,Lightspan,Lightspan,Unreleased,Unreleased,1998,
615,Creative Voyage,Lightspan,Lightspan,Unreleased,Unreleased,1998,
616,Creatures,Creature Labs,Swing Entertainment,Unreleased,Unreleased,"May 18, 2002",
617,Creatures 3: Raised in Space,Elo Interactive,Play It,Unreleased,"January 30, 2003","May 14, 2003",
618,Creature Shock,Interactive Studios,Data East,"August 23, 1996",Unreleased,Unreleased,
619,Cricket 2000,Krisalis Software,Electronic Arts,Unreleased,March 2000,Unreleased,
620,Crime Crackers,Media.Vision,SCEI,"December 3, 1994",Unreleased,Unreleased,
621,Crime Crackers 2,Media.Vision,SCEI,"November 27, 1997",Unreleased,Unreleased,
622,Crime Killer,Pixelogic,Interplay Entertainment,Unreleased,"June 26, 1998","June 30, 1998",
623,Crisis Beat,"Studio 3PAL, BandaiJP","Virgin Interactive, Play It (2003 Re-Release)","July 18, 1998","July 31, 2000",Unreleased,
624,Crisis City,Takara,Takara,"June 4, 1998",Unreleased,Unreleased,
625,Critical Blow,Racdym,Banpresto,"December 4, 1997",Unreleased,Unreleased,
626,Critical Depth,SingleTrac,GT Interactive,Unreleased,December 1999,"November 22, 1997",
627,Criticom,Kronos Digital Entertainment,Vic Tokai,"October 4, 1996","November 29, 1995","November 15, 1995",
628,Croc: Legend of the Gobbos,Argonaut Games,"Fox Interactive, EA Games",Unreleased,"September 15, 1997","September 1, 1997",
629,Croc 2,Argonaut Games,Fox Interactive,"September 2, 1999","August 3, 1999","August 15, 1999",
630,Croket! Kindan no Kinka Box,Konami,Konami,"March 20, 2003",Unreleased,Unreleased,
631,Crossroad Crisis,Success,A1 Games,Unreleased,Unreleased,"August 17, 2001",
632,Cross Romance: Koi to Mahjong to Hanafuda to,Nihon Bussan,Nihon Bussan,"March 28, 1997",Unreleased,Unreleased,
633,Cross Tantei Monogatari,WorkJam,WorkJam,"October 21, 1999",Unreleased,Unreleased,
634,Cross Tantei Monogatari 1: Kouhen,WorkJam,WorkJam,"October 28, 2000",Unreleased,Unreleased,
635,Cross Tantei Monogatari 1: Zenpen,WorkJam,WorkJam,"September 28, 2000",Unreleased,Unreleased,
636,Crossword,Success,Success,"January 27, 2000",Unreleased,Unreleased,
637,Crossword 2,Success,Success,"November 30, 2000",Unreleased,Unreleased,
638,Crossword 3,Success,Success,"May 24, 2001",Unreleased,Unreleased,
639,The Crow: City of Angels,Gray Matter,Acclaim,"April 25, 1997",April 1997,"February 28, 1997",
640,Crusader: No Remorse,Realtime Associates,EA,Unreleased,March 1997,"December 31, 1996",
641,Crusaders of Might and Magic,The 3DO Company,The 3DO Company,Unreleased,"February 15, 2000","February 15, 2000",
642,CRW: Counter Revolution War,Natsu System,Acclaim Japan,"August 30, 1996",Unreleased,Unreleased,
643,Crypt Killer,Konami,Konami,"March 7, 1997",May 1997,"May 3, 1997",
644,CT Special Forces,Light and Shadow Productions,Hip Interactive,Unreleased,"February 23, 2004",Unreleased,
645,CT Special Forces: Back To Hell•Elite Squad,LSP,LSP,Unreleased,"August 15, 2004",Unreleased,
646,CT Special Forces 3: Bioterror,The Code Monkeys,LSP,Unreleased,"December 15, 2004",Unreleased,
647,Cu-On-Pa,T&E Soft,T&E Soft,"October 9, 1997",Unreleased,Unreleased,
648,Cubix Robots for Everyone: Race 'N Robots,The 3DO Company,Blitz Games,Unreleased,Unreleased,"November 9, 2001",
649,Culdcept Expansion,Media Factory,Media Factory,"May 1, 1999",Unreleased,Unreleased,
650,Culdcept Expansion Plus,Media Factory,Media Factory,"November 30, 2000",Unreleased,Unreleased,
651,Curiosity kills the cat? Koukishin wa Neko o Korosuka,Eyst Pty. Ltd.,ASCII,"November 26, 1998",Unreleased,Unreleased,
652,The Curling,Success,Success,"July 1, 1999",Unreleased,Unreleased,
653,Cyberbots: Full Metal Madness,OeRSTED,Capcom,"December 25, 1997",Unreleased,Unreleased,
654,Cyber Daisenryaku: Shutsugeki! Haruka-tai,Alfa System,SystemSoft,"February 4, 1999",Unreleased,Unreleased,
655,Cyber Egg: Battle Champion,Bandai,Bandai,"December 18, 1997",Unreleased,Unreleased,
656,Cyberia,Xatrix Entertainment,Interplay,"February 16, 1996",August 1996,"January 2, 1996",
657,Cybernetic Empire,"Wolf Team, Nippon Telenet",Telenet Japan,"August 5, 1999",Unreleased,Unreleased,
658,Cyber Org,Squaresoft,Squaresoft,"April 22, 1999",Unreleased,Unreleased,
659,Cyber Sled,Namco,SCEE,"January 27, 1995",November 1995,"October 18, 1995",
660,Cyberspeed,Mindscape,Mindscape,Unreleased,"December 7, 1995","September 15, 1995",
661,CyberTiger,EA,EA,Unreleased,"December 3, 1999","November 6, 1999",
662,Cyberwar,Soft Vision,Coconuts Japan,"July 21, 1995",Unreleased,Unreleased,[58]
663,Cyborg 009: The Block Kuzushi,Access,Bandai,"October 10, 2002",Unreleased,Unreleased,
664,D,WARP,Acclaim Entertainment,"December 1, 1995",March 1996,"February 3, 1996",
665,Dai-2-Ji Super Robot Taisen,WinkySoft,Banpresto,"December 2, 1999",Unreleased,Unreleased,
666,Dai-3-Ji Super Robot Taisen,WinkySoft,Banpresto,"December 22, 1999",Unreleased,Unreleased,
667,Dai-4-Ji Super Robot Taisen S,WinkySoft,Banpresto,"January 26, 1996",Unreleased,Unreleased,[59]
668,Daibouken Deluxe: Harukanaru Umi,Soft Office,Soft Office,"April 18, 1997",Unreleased,Unreleased,
669,Daikoukai Jidai II,Koei,Koei,"December 27, 1996",Unreleased,Unreleased,
670,Daikoukai Jidai Gaiden,Koei,Koei,"October 2, 1997",Unreleased,Unreleased,
671,Daikoukai Jidai IV,Koei,Koei,"December 2, 1999",Unreleased,Unreleased,
672,Daiobake Yashiki,Visit,Visit,"July 2, 1998",Unreleased,Unreleased,
673,Daisenryaku: Master Combat,Dual,Oz Club,"December 3, 1998",Unreleased,Unreleased,
674,Daisenryaku: Player's Spirit,Dual,Oz Club,"March 29, 1996",Unreleased,Unreleased,
675,Dakar '97,Elcom,Virgin Interactive,"April 25, 1997",Unreleased,Unreleased,
676,The Dalmatians,The Code Monkeys,Midas Interactive,Unreleased,"September 1, 2000",Unreleased,
677,Dalmatians 2,Phoenix Games,Phoenix Games,Unreleased,"March 28, 2003",Unreleased,
678,DamDam StompLand,Atelier Double,Sony Music Entertainment,"December 4, 1997",Unreleased,Unreleased,
679,Dance! Dance! Dance!,Konami,Konami,"December 3, 1998",Unreleased,Unreleased,
680,Dance Dance Revolution (Japan),Konami,Konami,"April 10, 1999",Unreleased,Unreleased,
681,Dance Dance Revolution,Konami,Konami,Unreleased,Unreleased,"March 22, 2001",
682,Dance Dance Revolution 2ndReMix,Konami,Konami,"August 26, 1999",Unreleased,Unreleased,
683,Dance Dance Revolution 2ndReMix Append Club Version Vol.1,Konami,Konami,"November 25, 1999",Unreleased,Unreleased,
684,Dance Dance Revolution 2ndReMix Append Club Version Vol.2,Konami,Konami,"December 22, 1999",Unreleased,Unreleased,
685,Dance Dance Revolution 3rdMix,Konami,Konami,"June 1, 2000",Unreleased,Unreleased,
686,Dance Dance Revolution 4thMix,Konami,Konami,"March 15, 2001",Unreleased,Unreleased,
687,Dance Dance Revolution 5thMix,Konami,Konami,"September 20, 2001",Unreleased,Unreleased,
688,Dance Dance Revolution Best Hits,Konami,Konami,"December 21, 2000",Unreleased,Unreleased,
689,"Dance Dance Revolution Disney Mix•Dance Dance Revolution Disney's RaveJP•Dancing Stage Disney MixPAL,AUS",Konami,Konami,"September 17, 2001","September 28, 2001","September 18, 2001",
690,Dance Dance Revolution Extra Mix,Konami,Konami,"June 7, 2001",Unreleased,Unreleased,
691,Dance Dance Revolution Konamix,Konami,Konami,Unreleased,Unreleased,"April 23, 2002",
692,Dancing Blade Katteni Momotenshi!,Konami,TV Tokyo,"August 27, 1998",Unreleased,Unreleased,
693,Dancing Blade Katteni Momotenshi II: Tears of Eden,Konami,TV Tokyo,"March 18, 1999",Unreleased,Unreleased,
694,Dancing Stage EuroMix,Konami,Konami,Unreleased,"February 16, 2000AU,PAL",Unreleased,
695,Dancing Stage featuring Dreams Come True,Konami,Konami,"April 20, 2000",Unreleased,Unreleased,
696,Dancing Stage featuring True Kiss Destination,Konami,Konami,"December 9, 1999",Unreleased,Unreleased,
697,Dancing Stage Fever,Konami,Konami,Unreleased,"October 24, 2003",Unreleased,
698,Dancing Stage Fusion,Konami,Konami,Unreleased,"November 5, 2004",Unreleased,
699,Dancing Stage Party Edition,Konami,Konami,Unreleased,"November 15, 2002",Unreleased,
700,Dance: PAL,Broadsworld Interactive,Big Ben Interactive,Unreleased,"October 3, 2003",Unreleased,
701,Dance: PAL eXtra Trax,Broadsworld Interactive,Big Ben Interactive,Unreleased,"April 30, 2004",Unreleased,
702,Dangan,Mediamuse,KSS,"February 24, 2000",Unreleased,Unreleased,
703,Danger Girl,n-Space,THQ,Unreleased,"December 15, 2000","September 14, 2000",
704,Dare Devil Derby 3D'•Supersonic RacersPAL,Mindscape,Supersonic,"November 27, 1997",October 1996,"October 31, 1996",
705,Darius Gaiden,Nexus Interactive,Taito,"December 20, 1996",Unreleased,Unreleased,
706,Dark Hunter: Jou Ijigen Gakuen,Koei,Koei,"February 24, 2000",Unreleased,Unreleased,
707,Dark Hunter: Shita Youma no Mori,Koei,Koei,"May 30, 1997",Unreleased,Unreleased,
708,Darklight Conflict,Electronic Arts,Rage Software,Unreleased,Unreleased,"June 15, 1997",
709,Dark Seed,Cyberdreams,Gaga,"October 27, 1995",Unreleased,Unreleased,
710,Dark Seed II,Cyberdreams,B-Factory,"September 18, 1997",Unreleased,Unreleased,
711,Darkstalkers: The Night Warriors,Capcom,WW: CapcomPAL: Virgin Interactive,"March 22, 1996",November 1996,"June 10, 1996",
712,Darkstalkers 3,Capcom,Capcom,"November 5, 1998","November 15, 1999","November 30, 1998",
713,Darkstone,Delphine Software International,Electronic Arts,Unreleased,Unreleased,"January 28, 2001",
714,Dark Tales: From the Lost Soul,Sammy Studios,Sammy Studios,"September 28, 1999",Unreleased,Unreleased,
715,Dave Mirra Freestyle BMX,Z-Axis,Acclaim Entertainment,Unreleased,Unreleased,"September 30, 2000",
